,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
794,2015-02-12 04:01:00,20.7,24.84,0.0,587.5,0.00374615849001089,0
4742,2015-02-14 21:49:00,19.79,35.2,0.0,524.5,0.0050284207056229295,0
2120,2015-02-03 23:19:00,20.89,25.2,0.0,557.2,0.00384577933024355,0
1426,2015-02-05 17:36:00,22.2,24.334,429.5,913.0,0.0040248181038642795,1
1397,2015-02-03 11:16:00,22.08,28.37,544.2,1198.6,0.00466293178958891,1
6336,2015-02-16 00:23:00,20.29,29.0,0.0,730.0,0.00426782583453201,0
4345,2015-02-07 18:15:00,20.34,22.34,0.0,437.0,0.0032927364869499397,0
8196,2015-02-17 07:23:00,20.7,30.2,0.0,763.0,0.00456043504036532,0
1608,2015-02-12 17:35:00,22.0,27.9175,423.666666666667,630.666666666667,0.00456551865956959,1
3750,2015-02-14 05:17:00,19.6,38.245,0.0,504.0,0.00540255521856975,0
4420,2015-02-14 16:27:00,20.1,35.745,33.5,509.0,0.00520680069711517,0
5213,2015-02-15 05:39:59,20.1,32.29,0.0,568.0,0.00469972496770391,0
4688,2015-02-14 20:55:00,19.856666666666698,35.466666666666704,0.0,528.333333333333,0.00508799286834919,0
3607,2015-02-14 02:54:00,19.79,36.4,0.0,505.0,0.0052012776128288795,0
4063,2015-02-14 10:30:00,20.15,36.545,44.0,511.0,0.00534097219141473,0
539,2015-02-02 20:57:59,20.89,23.1,0.0,501.5,0.0035234822671828397,0
1714,2015-02-03 16:33:00,22.7225,31.2,442.5,1381.5,0.00533814110163399,1
5112,2015-02-08 07:01:59,19.2,31.39,0.0,432.333333333333,0.00431770945296514,0
3899,2015-02-07 10:49:00,22.1,18.0,336.5,458.5,0.0029540357910551,0
4590,2015-02-14 19:17:00,19.79,35.45,0.0,519.5,0.0050644247036422795,0
3642,2015-02-14 03:29:00,19.7,36.56,0.0,501.666666666667,0.005194987694705571,0
5359,2015-02-15 08:06:00,20.1,31.1,7.0,607.0,0.00452526348349619,0
1188,2015-02-03 07:46:59,20.39,23.34,403.5,479.75,0.0034516466643212,1
7800,2015-02-10 03:49:59,20.2,32.9,0.0,451.0,0.0048191465636018204,0
2567,2015-02-13 09:34:00,22.2225,25.3175,620.75,587.25,0.00419436533031372,1
